Title,Company,Location,Modality,Job_Description,When_Posted,Pay,City,State,Rating
Software Engineer,National Football League,"Inglewood, CA",,"Degree in computer science, engineering, data science or related field preferred.",Posted 30+ days ago·,,Inglewood,CA,
"Director, AI Strategy",Herbalife,"Remote in Torrance, CA 90502",Remote,"Collaborate with the data governance team to establish data quality, data privacy, and data security practices.",Posted 30+ days ago·,,Remote  Torrance,CA,
Artificial Intelligence for Planetary Science Discovery in Legacy Data,National Aeronautics and Space Administration...,"Pasadena, CA",,"Additional benefit would be provided by past experience with planetary image datasets, data science tools, Geographic Information Software, as well as an…",Posted 24 days ago·,,Pasadena,CA,
Engineer- Leadership Development Program,"Pinnacle Asset Integrity Services, LLC","El Segundo, CA 90245",,Solve complex problems using data and critical thinking while following Recognized and Generally Accepted Good Engineering Practices (RAGEGAP).,Posted 6 days ago·,,El Segundo,CA,
Conversational AI / NLP Engineer,Alelo,"Los Angeles, CA",,Demonstrated ability to draw insights from user data and use them to drive product improvements.,Posted 30+ days ago·,,Los Angeles,CA,
"Sr. Specialist, Advanced Analytics",DIRECTV,,,"3 - 5 years of related experience in data science, advanced analytics, and machine learning.",Posted 8 days ag,,,CA,3.7
Data Engineer,CyberCoders,,,"Work with our data science and product management teams to design, rapidly prototype, and productize new data product ideas and capabilities.",Today,220000.0,,CA,3.9
Staff Accountant,CyberCoders,,,Strong experience with financial and numeric data.,Today,58240.0,,CA,3.9
"Senior Business Intelligence Analyst $110,000 - $140,000 Annual (On-site)",Commerce Casino,"Commerce, CA 90040",,"⦁ Undergraduate education in data science or analytics, computer science, statistics, business, sciences, or equivalent relatable combination of work experience…",Posted 30+ days ago·,,Commerce,CA,
Sr. Bioinformatician - Jonsson Cancer Center,UCLA Health,"Los Angeles, CA 90095",,Four years’ biological and data science experience.,Posted 30+ days ago·,,Los Angeles,CA,
"Director, Inventory & Yield Management",GoodRx,"Santa Monica, CA 90401 ",,4+ years experience in quantitative or data analysis/data science.,Posted 30+ days ago·,279000.0,Santa Monica,CA,
"Senior Data Engineer, Blockchain",Circle,"Remote in Los Angeles, CA",Remote,"Being a domain expert on data modeling, data pipelines, data quality and data warehousing.",Posted 8 days ago·,195000.0,Remote  Los Angeles,CA,
"Senior Manager, Data Science - Advertising Measurement - Walmart Connect",Walmart,"Los Angeles, CA 90066 ",,Partner with cross-functional team to streamline data science solutions.,Posted 30+ days ago·,264000.0,Los Angeles,CA,
"Staff Machine Learning Engineer, Public Company",Recruiting From Scratch,"Torrance, CA",,"Collect, analyze, and synthesize findings from data and build intelligent data-driven model.",Posted 28 days ago·,220000.0,Torrance,CA,
"Executive Director, Data Solutions Business Partnerships","Sony Pictures Entertainment, Inc.","Culver City, CA",,"Provide ongoing data product, advanced analytics and data-science Solutioning development support and coordination, representing business to support solution…",Posted 30+ days ago·,,Culver City,CA,
Machine Learning Engineer,Voxelcloud,"Los Angeles, CA 90024",,Provide insights to data collection and annotation and collaborate with the data team for in-house data management and labelling.,Posted 30+ days ago·,,Los Angeles,CA,
"Machine Learning Engineer, TikTok Branding Ads",TikTok,"Los Angeles, CA",,"Relevant professional experience with machine learning, data mining, data analysis, distribution system.",Posted 30+ days ago·,237500.0,Los Angeles,CA,
Consultant Artificial Intelligence / Machine Learning Engineer (AI/ML),Specular Theory,"Venice, CA",,Let's build the future of Intelligent virtual reality training.,Posted 30+ days ago·,,Venice,CA,
Postdoctoral Scientist - Tatonetti Lab - Data-Driven Precision Pharmacology,CEDARS-SINAI,"West Hollywood, CA",,"In the Tatonetti Lab we use advanced data science methods, including artificial intelligence and machine learning, to investigate drug safety, drug-drug…",Posted 30+ days ago·,93600.0,West Hollywood,CA,
"Senior Business Intelligence Analyst $110,000 - $140,000 Annual (On-site)",Commerce Casino,"Commerce, CA 90040",,"⦁ Undergraduate education in data science or analytics, computer science, statistics, business, sciences, or equivalent relatable combination of work experience…",Posted 20 days ago·,,Commerce,CA,
AI Training for Physics,Outlier,,,"Help train AI models to become more accurate, relevant, and safe in Physics! Earnings: Hourly rate: up to $50 per hour USD, depending on your level of…",Posted 4 days ag,104000.0,,CA,3.7
"Manager, Ads FS&A - Revenue & Yield Analytics (UCAN)",Netflix,"Los Angeles, CA",,"Los Angeles, California Finance New York, Los Angeles, Los Gatos Finance, Strategy & Analysis It's an exciting time to join Netflix as we continue to…",Posted 25 days ago·,,Los Angeles,CA,
Marketing Science Partner - Amazon,Meta,"Los Angeles, CA 90066 ",,"Facebook is seeking exceptional candidates to join the Marketing Science team. In this role, you will be leading measurement strategy for one of the most…",Posted 30+ days ago·,221000.0,Los Angeles,CA,
"Analytics Lead, Wondery",Wondery LLC - L79,"Culver City, CA",,"- 4+ years of professional or military experience - 4+ years of SQL experience - Experience with performance marketing concepts, including attribution models …",Posted 26 days ago·,104300.0,Culver City,CA,
"Patents | Patent Agent (Biophysics, Bioinformatics, AI Machine Learning)",Norton Rose Fulbright,"Los Angeles, CA 90071 ",,Practice Group / Department: Patents Job Description We are a global law firm with a powerful strategic focus and real momentum. Our industry-focused…,Posted 5 days ago·,,Los Angeles,CA,
Global Sr. Director of Growth,Acorns,"Los Angeles, CA",,"At Acorns we look after the financial best interest of the up-and-coming. We are innovators. We make bold decisions. We stay curious, inspiring one another to…",Posted 30+ days ago·,250000.0,Los Angeles,CA,
Senior Data Engineer - Remote (US Based),UpRecruit,"Remote in Los Angeles, CA",Remote,"Job Details: • Title: Sr. Data Engineer • Salary: $160K - $180K • Requirements: airflow, dbt, Snowflake, AWS, Python, SQL • Location: 100% Remote Our client,…",Active 2 days ago·,180000.0,Remote  Los Angeles,CA,
Machine Learning in Survey Cosmology,National Aeronautics and Space Administration...,"Pasadena, CA",,Organization National Aeronautics and Space Administration (NASA) Reference Code 0238-NPP-JUL24-JPL-Astrophys How to Apply All applications must be submitted…,Posted 24 days ago·,,Pasadena,CA,
Senior Product Manager,Sidecar Health,"Remote in Los Angeles, CA",Remote,Sidecar Health is redefining health insurance. Our mission is to make excellent healthcare affordable and attainable for everyone. We know that to accomplish…,Posted 30+ days ago·,,Remote  Los Angeles,CA,
Director of Marketing,AE Studio,"Los Angeles, CA",,"AE Studio is a leading technology innovation studio specializing in software, data science, and AI development and research. We do industry-leading client work…",Posted 30+ days ago·,,Los Angeles,CA,
Senior Machine Learning Engineer,Freeform,"Los Angeles, CA",,"SENIOR MACHINE LEARNING ENGINEER Freeform is deploying software-defined, autonomous metal 3D printing factories around the world, bringing the scalability of…",Posted 21 days ago·,250000.0,Los Angeles,CA,
"(Open Rank) Assistant, Associate, Full Professor of Industrial and Systems Engineering",USC,"Los Angeles, CA",,The University of Southern California invites applications for multiple tenured and tenure-track positions in the Daniel J. Epstein Department of Industrial…,Posted 30+ days ago·,,Los Angeles,CA,
Sales Director,Pixability,"Los Angeles, CA",,Sales Director West Coast - (LA) Pixability is the leading AI-driven technology company that empowers the world's largest brands and their agencies to…,Posted 4 days ago·,,Los Angeles,CA,
Electrical Power and Harness Subsystem Engineer,BOEING,"El Segundo, CA 90245",,"At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a…",Posted 3 days ago·,141450.0,El Segundo,CA,
Decision Scientist - Metaverse,Meta,"Los Angeles, CA 90066 ",,The Marketing team focuses on building Meta's brand presence by improving user sentiment and product education. Our Marketing team seeks to understand how our…,Posted 17 days ago·,185000.0,Los Angeles,CA,
"Data Analyst 3, Marketing Optimization",Nordstrom Inc,"Los Angeles, CA",,"Here we build data science products and provide analytics consulting in support of strategic business decisions, including customer segmentation, marketing,…",Posted 6 days ago·,147000.0,Los Angeles,CA,
"Tech Lead Machine Learning Engineer, TikTok Branding Ads",TikTok,"Los Angeles, CA",,"Relevant professional experience with machine learning, data mining, data analysis, distribution system.",Posted 30+ days ago·,389500.0,Los Angeles,CA,
Analytics and Visualization Data Scientist,Booz Allen,"El Segundo, CA",,"2+ years of experience with data exploration, data cleaning, data analysis, data visualization, or data mining.",Posted 18 days ago·,166000.0,El Segundo,CA,
"Manager, Statistical Programming",Arrowhead Pharmaceuticals,"Pasadena, CA",,Collaborate with data management and their programming team to ensure appropriate data collection and reporting.,Posted 30+ days ago·,165000.0,Pasadena,CA,
Senior Manager Marketing Analytics DIG,Providence Digital Innovation Group,"Los Angeles, CA 90006",,"5 years Data Science/ Advanced statistical modeling of marketing data: regression-based propensity models, marketing/media mix models, multi-touch attribution.",Posted 30+ days ago·,275828.80000000005,Los Angeles,CA,
"Senior Analytics Engineer, ASE",Apple,"Culver City, CA",,"7+ years of experience building self serve data products for internal partners, or in other relevant data engineering or data science capacities.",Posted 8 days ago·,284900.0,Culver City,CA,
"Manager, Machine Learning",Numerade,"Remote in Los Angeles, CA",Remote,Experience with data warehouses and data lakes.,Posted 30+ days ago·,,Remote  Los Angeles,CA,
"Manager, Commerce Analytics - Subscriber Lifecycle Analytics",Disney Direct to Consumer,"Santa Monica, CA",,Experience manipulating large data sets and interpreting data trends using a multitude of disparate data sources and tools.,Posted 30+ days ago·,191100.0,Santa Monica,CA,
Programmer/Analyst (Research Software Engineer) - Slomka Lab - Artificial Intelligence in Medicine (AIM) Program,CEDARS-SINAI,"Los Angeles, CA",,"Develops software methods for deep learning analysis and segmentation of image data, and data reconstruction.",Posted 30+ days ago·,137300.0,Los Angeles,CA,
"Executive Director, Analytics - CW Network - Burbank, CA",Nexstar Broadcasting,"Burbank, CA",,Improving data quality and efficiency across all data sets.,Posted 30+ days ago·,175000.0,Burbank,CA,
"Product Manager, Generative AI",Snapchat,"Los Angeles, CA 90291 ",,"Ability to collaborate and build trust with engineers, designers, data science and other cross-functional teammates.",Posted 30+ days ago·,257000.0,Los Angeles,CA,
Senior Manager Planning & Analytics - Domestic Sales,Anastasia Beverly Hills,"Beverly Hills, CA 90210",,"Solid experience with data visualization tools (i.e., Power BI) preferred.",Posted 20 days ago·,135000.0,Beverly Hills,CA,
Senior ML Engineer,Kindo,"Venice, CA",,"Empathy, open-mindedness, and constructive feedback: Respect diverse working styles, encourage data-informed decisions, and build understanding and trust…",Posted 30+ days ago·,,Venice,CA,
Principal AM Process Development Engineer,Divergent 3D,"Torrance, CA",,7)Assure proper formulation and design of experiments and thorough documentation of technical data generated for the assigned projects and / or tasks consistent…,Posted 30+ days ago·,210000.0,Torrance,CA,
Artificial Intelligence modelling of Europa’s Space Environment and Ionosphere,National Aeronautics and Space Administration...,"Pasadena, CA",,"The project will utilize in-situ data from Voyager, Galileo, and Juno, in preparation for the upcoming Europa Clipper and JUICE missions.",Posted 24 days ago·,,Pasadena,CA,
"Sr. Specialist, Advanced Analytics",DIRECTV,,,"DIRECTV is seeking a Sr. Specialist in Advanced Analytics to gather, analyze, and interpret a wide variety of operational and customer data to identify key…",Posted 8 days ag,,,CA,3.7
Software Engineer II,Dyno Labs,"Los Angeles, CA",,"Dyno Labs specializes in enhancing online community interaction with our versatile platform. As the company behind Dyno (dyno.gg) and ProBot (probot.io),…",Posted 30+ days ago·,,Los Angeles,CA,
Lead Hardware Reliability Engineer (Starlink Product),SpaceX,"Hawthorne, CA",,SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not. Today…,Posted 27 days ago·,175000.0,Hawthorne,CA,
Lead Data Engineer,tvScientific,"Remote in Los Angeles, CA",Remote,"Job Title: Lead Data Engineer Location: Remote, US Department: Engineering Type: Full-Time, Exempt Experience: 7+ years of experience Salary Range: $185,000 - …",Posted 14 days ago·,210000.0,Remote  Los Angeles,CA,
Cardiology - Center for Cardiac Arrest Prevention- Computational Research Scientist Faculty,CEDARS-SINAI,"Los Angeles, CA",,The Smidt Heart Institute at Cedars-Sinai Medical Center invites applications for a Research Scientist faculty position to join the Center for Cardiac Arrest…,Posted 30+ days ago·,265200.0,Los Angeles,CA,
"Senior Data Scientist, Blockchain",Circle,"Remote in Los Angeles, CA",Remote,"Circle is a financial technology company at the epicenter of the emerging internet of money, where value can finally travel like other digital data — globally…",Posted 20 days ago·,195000.0,Remote  Los Angeles,CA,
"Senior Software Engineer, AI Platform",Circle,"Remote in Los Angeles, CA",Remote,"Circle is a financial technology company at the epicenter of the emerging internet of money, where value can finally travel like other digital data — globally…",Posted 20 days ago·,195000.0,Remote  Los Angeles,CA,
Master of Applied Statistics and Data Science Lecturer - Spring 2024,UCLA,"Los Angeles, CA",,"Job #JPF09219 STATISTICS / L&S Physical Sciences / UCLA POSITION OVERVIEW Salary range: A reasonable estimate is $91,718 to $109,516. APPLICATION WINDOW Open…",Posted 25 days ago·,109516.0,Los Angeles,CA,
Postdoctoral Scientist - Multi-modal Neuroimaging Analysis with Machine Learning – Al-Louzi/Sati labs - Department of Neurology,CEDARS-SINAI,"Los Angeles, CA",,"Job Description If you're ready to be a part of groundbreaking research, then we invite you to consider this exciting opportunity and apply today! The…",Posted 5 days ago·,93600.0,Los Angeles,CA,
Research & Litigation Services Attorney – Artificial Intelligence,Latham & Watkins LLP,"Los Angeles, CA 90013 ",,About Latham & Watkins: Latham & Watkins is a global law firm consistently ranked among the top firms in the world. The success of our firm is largely…,Posted 5 days ago·,180000.0,Los Angeles,CA,
Weights & Mass Property Engineer (Mid-level or Senior),BOEING,"Hybrid remote in Long Beach, CA",Hybrid,"At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a…",Posted 11 days ago·,,   Long Beach,CA,
Data Cloud Solutions Consultant,Zeta Global,"El Segundo, CA",,WHO WE ARE Zeta Global (NYSE: ZETA) is the Data-Powered Marketing Cloud that leverages advanced artificial intelligence (AI) and trillions of consumer…,Posted 6 days ago·,100000.0,El Segundo,CA,
Postdoctoral Scientist - Multi-modal Neuroimaging Analysis with Machine Learning – Al-Louzi/Sati lab,Springer Nature,"Los Angeles, CA 90048",,"Postdoctoral Scientist - Multi-modal Neuroimaging Analysis with Machine Learning – Al-Louzi/Sati lab Employer Cedars-Sinai Location Los Angeles, California…",Posted 3 days ago·,93600.0,Los Angeles,CA,
Data Science Program Manager - SFL Scientific,Deloitte,"Los Angeles, CA",,"Data Science Program Manager, Specialist Master - SFL Scientific SFL Scientific, a Deloitte Business practice brings together several key capabilities to…",Posted 30+ days ago·,,Los Angeles,CA,
Deep Learning Data Science Manager,Deloitte,"Los Angeles, CA",,"Deep Learning Data Science Manager SFL Scientific, a Deloitte Business practice brings together several key capabilities to architect integrated programs…",Posted 30+ days ago·,,Los Angeles,CA,
Mid-Level Aircraft Environmental Control Systems Analysis Engineer,BOEING,"Long Beach, CA",,"Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,…",Posted 5 days ago·,,Long Beach,CA,
Lead Data Engineer (Remote),Match Made Tech,"Remote in Los Angeles, CA 90049",Remote,As the Lead Data Engineer you will be a key player in designing and implementing the robust data infrastructure to power our data-heavy company.,Posted 30+ days ago·,,Remote  Los Angeles,CA,
Senior Data Engineer,StubHub,"Hybrid remote in Los Angeles, CA",Hybrid,"Create shared tooling to improve data practitioner (data engineering, analytics engineering, data science) productivity and quality across the company.",Posted 18 days ago·,300000.0,   Los Angeles,CA,
"Data Scientist 2, Marketing Optimization Analytics",Nordstrom Inc,"Los Angeles, CA",,“LOVE” the engineering and architecture portion of data science work gain satisfaction in deploying useful data products that make business impact.,Posted 6 days ago·,187500.0,Los Angeles,CA,
AI Strategy Lead,Proper Hospitality,"Los Angeles, CA",,"Oversee the build-out of AI infrastructure and data pipelines, leveraging guest data, property management systems (PMS), and other hospitality-specific data…",Today·,250000.0,Los Angeles,CA,
"Senior Director, Analytics - Ad Sales",Spotter,"Los Angeles, CA",,"Experience with data mining, and/or predictive modeling, and data interpretation.",Posted 17 days ago·,500000.0,Los Angeles,CA,
Senior Data Engineer (Remote),Match Made Tech,"Remote in Los Angeles, CA 90049",Remote,Expertise in SQL for data manipulation and extraction.,Posted 30+ days ago·,,Remote  Los Angeles,CA,
Postdoctoral Scientist - Smidt Heart Institute - Karlstaedt Lab,CEDARS-SINAI,"Los Angeles, CA",,"Expertise in biological data science and data-driven discovery, scientific programming and omics data analysis, genetics will also be beneficial, as is…",Posted 30+ days ago·,93600.0,Los Angeles,CA,
Principal Machine Learning Engineer,Disney Direct to Consumer,"Santa Monica, CA",,"Partnership: Partner closely with stakeholders to identify and unlock opportunities, and with other data teams to improve platform capabilities around data…",Posted 5 days ago·,266800.0,Santa Monica,CA,
"Wire Harness Mechanical Design & Installation Engineer (Associate, Experienced Or Lead)",BOEING,"El Segundo, CA 90245",,"Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,…",Posted 7 days ago·,,El Segundo,CA,
"Senior Data Scientist, Trust and Safety - USDS",TikTok,"Hybrid remote in Los Angeles, CA",Hybrid,"Previous experience in data science, data analytics, or product analytics at a consumer technology company.",Posted 30+ days ago·,312867.0,   Los Angeles,CA,
"Sr. Software Engineer, Full Stack (NDE)",SpaceX,"Hawthorne, CA",,"Experience in full stack development, software engineering, data engineering, or data science.",Posted 30+ days ago·,220000.0,Hawthorne,CA,
Senior Statistician - Ophthalmology,UCLA Health,"Los Angeles, CA 90095",,Experience developing applications with relational database and data access; SQL.,Posted 30+ days ago·,,Los Angeles,CA,
"Staff Data Scientist, Advanced Analytics and Engineering",Match Group,"Hybrid remote in West Hollywood, CA",Hybrid,"The ideal candidate will have the right mix of hard and soft skills that allows them to technically mentor data scientists, while also effectively communicating…",Posted 30+ days ago·,220000.0,   West Hollywood,CA,
Lead Machine Learning Engineer,Disney Direct to Consumer,"Santa Monica, CA",,Develop scalable and efficient methods for large scale data analysis and model development.,Posted 19 days ago·,220600.0,Santa Monica,CA,
AI Training for Mathematics,Outlier,,,"Help train AI models to become more accurate, relevant, and safe in Math!",Posted 10 days ag,104000.0,,CA,3.7
AI Training for Physics,Outlier,,,"Help train AI models to become more accurate, relevant, and safe in Physics!",Posted 4 days ag,104000.0,,CA,3.7
Marketing Insights Research - Reality Labs VR/AR,Meta,"Los Angeles, CA 90066 ",,"6+ years of experience with extensive background in quantitative and qualitative research, including hands-on experience in survey/discussion guide and data…",Posted 30+ days ago·,162000.0,Los Angeles,CA,
Financial Reporting Specialist (Flexible),"Lakeshore Learning Materials, LLC","Long Beach, CA 90810",,"Strong technical skills in Excel and other data tools, certification highly preferred.",Posted 24 days ago·,54080.0,Long Beach,CA,
"Software Engineers (Experienced, Senior) Virtual",BOEING,"Long Beach, CA",,"Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,…",Posted 6 days ago·,177100.0,Long Beach,CA,
"Senior Staff Software Developer, Machine Learning, Ads Understanding",Google,"Los Angeles, CA ",,"8 years of experience in software development, and with data structures/algorithms.",Posted 21 days ago·,,Los Angeles,CA,
"Senior Machine Learning Engineer, TikTok Branding Ads",TikTok,"Los Angeles, CA",,"Relevant professional experience with machine learning, data mining, data analysis, distribution system.",Posted 30+ days ago·,337250.0,Los Angeles,CA,
Data/GIS Analyst - Advanced Analytics Specialist,Hazen and Sawyer,"Los Angeles, CA 90017",,"Proficiency in database development, data analytics, and data models.",Posted 30+ days ago·,85000.0,Los Angeles,CA,
"Generative AI Engineer, AI Seed Stage Startup",Recruiting From Scratch,"Remote in Los Angeles, CA 90210",Remote,Third-party data providers for enrichment.,Posted 18 days ago·,140000.0,Remote  Los Angeles,CA,
Senior TikTok Product Manager - Social Product,TikTok,"Los Angeles, CA",,"5+ years of experience in product management, data science, consulting, co-founder, or equivalent roles.",Posted 30+ days ago·,266000.0,Los Angeles,CA,
"Sr.Principal Applied Scientist, Amazon Prime Video Content & Partner Lifecycle",Amazon.com Services LLC,"Los Angeles, CA",,"Computer Science fundamentals in Computer Vision and DL across modeling, data structures, algorithm design and complexity analysis.",Posted 30+ days ago·,240100.0,Los Angeles,CA,
"Public Affairs Manager, Security Engineering",Meta,"Los Angeles, CA 90066 ",,"In this role, you will support our cross-company information security efforts in developing and executing communications programs from scratch.",Posted 14 days ago·,242000.0,Los Angeles,CA,
Senior Electrical Design Engineer,BOEING,"Hybrid remote in Long Beach, CA",Hybrid,"Collect, organize, synthesize, and analyze data; summarize findings; develop conclusions and recommendations from appropriate data sources.",Posted 6 days ago·,173650.0,   Long Beach,CA,
